contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
G23J7928V2__3806	13628	No	NA	19	8	0	Low-quality	Genome-fragment	45.15	HMM-based (lower-bound)	0.0	1.0	
BBD0_V__4325	2724	No	NA	3	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BBN1_V__5141	3873	No	NA	5	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
AZO9_V__5933	2760	No	NA	4	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G21F_7946_V4__6704	2702	No	NA	3	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
AZE2_V__2459	3473	No	NA	2	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G18F_V12__1573	5044	No	NA	5	5	0	Low-quality	Genome-fragment	16.28	AAI-based (high-confidence)	0.0	1.0	
G21F_7946_V4__5512	2613	No	NA	3	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAY4_V__7166	2607	No	NA	3	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G01M_8349_V__5819	240265	No	NA	206	2	136	High-quality	High-quality	100.0	HMM-based (lower-bound)	0.0	1.0	
G01M_8197_V__10302	2942	No	NA	4	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G23J_8064V__788	31818	No	NA	52	17	0	High-quality	High-quality	96.43	AAI-based (high-confidence)	0.0	1.0	
AZE2_V__5776	2522	No	NA	4	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BBD2_V__9148	2537	No	NA	3	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G03J_7869_V4__6826	4803	No	NA	9	1	0	Low-quality	Genome-fragment	10.79	AAI-based (high-confidence)	0.0	1.0	
BAX1_V__9893	3093	No	NA	2	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G21F_7947_V5__7175	48370	No	NA	43	0	10	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G23J_8060V__143	3127	No	NA	2	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAY4_V__4413	18630	No	NA	35	6	1	Low-quality	Genome-fragment	22.32	AAI-based (high-confidence)	0.0	1.0	
BAS3_V__2714	53692	No	NA	68	35	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
G01M_8533_V__5275	8106	No	NA	7	2	0	Low-quality	Genome-fragment	20.15	AAI-based (high-confidence)	0.0	1.0	
AWG10_V__2014	11426	No	NA	17	3	0	Low-quality	Genome-fragment	18.9	HMM-based (lower-bound)	0.0	1.0	
G23J_7943V__6984	8817	No	NA	16	4	0	Low-quality	Genome-fragment	25.83	AAI-based (high-confidence)	0.0	1.0	
AZC3_V__9419	2765	No	NA	3	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
AZX2_V__3400	3908	No	NA	2	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAX4_V__9209	4849	No	NA	11	0	1	Low-quality	Genome-fragment	3.67	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
G21F_7947_V5__2294	4833	No	NA	6	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
AZV1_V__1205	3013	No	NA	2	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
AWG0_V__2227	2844	No	NA	5	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G21F_7947_V5__227	6779	No	NA	6	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BBD0_V__718	8071	No	NA	12	2	0	Low-quality	Genome-fragment	11.8	HMM-based (lower-bound)	0.0	1.0	
BAS3_V__8751	6457	No	NA	5	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G01M_8520_V__900	3994	No	NA	5	0	0	Low-quality	Genome-fragment	7.33	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
G18F_V14__2960	2760	No	NA	5	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G23J_8067V__6638	85195	No	NA	98	23	3	Medium-quality	Genome-fragment	58.92	AAI-based (high-confidence)	0.0	1.0	
G01M_8590_V__7420	2933	No	NA	3	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G01M_8418_V__9490	4020	No	NA	3	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BBN1_V__4696	7823	No	NA	8	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G01M_8653_V__6874	23135	No	NA	34	12	0	Medium-quality	Genome-fragment	63.71	AAI-based (medium-confidence)	0.0	1.0	
AZB2_V__5909	94447	No	NA	112	26	2	Medium-quality	Genome-fragment	68.85	AAI-based (medium-confidence)	0.0	1.0	
BAW1_V__3523	3002	No	NA	4	1	0	Low-quality	Genome-fragment	5.63	AAI-based (high-confidence)	0.0	1.0	
BBF1_V__8291	3267	No	NA	4	0	0	Low-quality	Genome-fragment	9.33	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
G21F_7876_V1__9975	4232	No	NA	1	0	1	Low-quality	Genome-fragment	0.4	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
G21F_7947_V5__6934	4602	No	NA	6	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G01M_8337_V__5742	3916	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G23J_8064V__4920	3096	No	NA	2	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G23J7927V1__5371	28834	No	NA	25	3	1	Medium-quality	Genome-fragment	52.41	AAI-based (medium-confidence)	0.0	1.0	
BBN3_V__7251	5054	No	NA	7	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAX4_V__1881	69779	No	NA	45	0	27	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BBN1_V__546	2605	No	NA	3	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BBD2_V__9097	2557	No	NA	1	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G21F_7881_V3__9205	8805	No	NA	14	3	0	Low-quality	Genome-fragment	19.77	AAI-based (medium-confidence)	0.0	1.0	
G21F_7878_V2__5211	11469	No	NA	17	7	0	Low-quality	Genome-fragment	20.57	AAI-based (high-confidence)	0.0	1.0	
BBN1_V__1643	2578	No	NA	5	0	1	Low-quality	Genome-fragment	2.54	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
G01M_8590_V__7391	4025	No	NA	5	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G01M_8340_V__38	6153	No	NA	9	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G21F_7876_V1__5590	16059	No	NA	15	0	14	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G21F_7947_V5__450	70234	No	NA	77	0	60	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
MixMS20_V8__1917	2811	No	NA	5	0	1	Low-quality	Genome-fragment	5.68	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
AZV1_V__3776	3677	No	NA	1	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G01M_8363_V__9946	4483	No	NA	5	3	0	Low-quality	Genome-fragment	10.48	AAI-based (high-confidence)	0.0	1.0	
BBN3_V__6780	7571	No	NA	6	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAY1_V__3089	3328	No	NA	1	0	1	Low-quality	Genome-fragment	1.38	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
G01M_8197_V__6131	35348	No	NA	36	5	1	High-quality	High-quality	92.21	AAI-based (high-confidence)	0.0	1.0	
BAX1_V__3037	2647	No	NA	3	0	2	Low-quality	Genome-fragment	2.32	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
AZV1_V__6988	35518	No	NA	56	37	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
G21F_7947_V5__454	5776	No	NA	7	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAY9_V__6525	36288	No	NA	55	13	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
G01M_8418_V__5551	7008	No	NA	10	1	0	Low-quality	Genome-fragment	14.55	AAI-based (high-confidence)	0.0	1.0	
G23J_7936V__5674	46020	No	NA	74	12	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
G01M_8190_V__2765	13392	No	NA	23	7	0	Low-quality	Genome-fragment	41.33	HMM-based (lower-bound)	0.0	1.0	
G21F_7947_V5__7225	3266	No	NA	6	2	0	Low-quality	Genome-fragment	6.35	AAI-based (high-confidence)	0.0	1.0	
G01M_8193_V__1904	3023	No	NA	6	1	0	Low-quality	Genome-fragment	6.36	AAI-based (medium-confidence)	0.0	1.0	
AZX1_V__723	2990	No	NA	4	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAY1_V__82	9877	No	NA	17	4	0	Low-quality	Genome-fragment	27.72	AAI-based (high-confidence)	0.0	1.0	
BAX1_V__2363	3331	No	NA	4	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAH14_V__10348	3294	No	NA	2	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G23J_7937V__6759	3786	No	NA	8	0	0	Low-quality	Genome-fragment	6.56	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
G01M_8520_V__1638	5601	No	NA	9	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G21F_7878_V2__8020	3822	No	NA	4	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G21F_7946_V4__6170	2938	No	NA	3	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G21F_7878_V2__263	3527	No	NA	7	1	0	Low-quality	Genome-fragment	6.56	AAI-based (high-confidence)	0.0	1.0	
G23J_8064V__6106	3230	No	NA	4	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
AZT2_V__6253	2507	No	NA	6	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAW0_V__6564	3019	No	NA	5	3	0	Low-quality	Genome-fragment	6.83	AAI-based (high-confidence)	0.0	1.0	
AZT2_V__8585	3224	No	NA	3	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
AZB2_V__6485	62270	No	NA	74	0	27	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAM6_V__4006	3445	No	NA	4	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G01M_8418_V__7676	2643	No	NA	3	0	1	Low-quality	Genome-fragment	0.87	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
BAX6_V__4439	7691	No	NA	10	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAY4_V__10094	4295	No	NA	4	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G23J_8060V__7733	14088	No	NA	9	0	8	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
AZB2_V__1386	84062	No	NA	116	11	3	Medium-quality	Genome-fragment	54.64	AAI-based (high-confidence)	0.0	1.0	
G21F_7947_V5__9146	3050	No	NA	4	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G23J_7937V__2823	7715	No	NA	10	0	1	Low-quality	Genome-fragment	11.51	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
BAH1_V__2071	2683	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G01M_8193_V__4279	2547	No	NA	4	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAY1_V__1106	21308	No	NA	26	14	0	Medium-quality	Genome-fragment	60.64	AAI-based (high-confidence)	0.0	1.0	
AZE2_V__1171	40691	No	NA	58	19	0	High-quality	High-quality	97.9	AAI-based (high-confidence)	0.0	1.0	
BAJ6_V__7152	3595	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BBN1_V__322	225633	No	NA	239	0	152	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G01M_8418_V__5373	3614	No	NA	3	1	0	Low-quality	Genome-fragment	9.3	AAI-based (high-confidence)	0.0	1.0	
G01M_8520_V__8589	3886	No	NA	4	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAJ6_V__7170	42674	No	NA	62	11	3	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AZB1_V__3065	17243	No	NA	25	6	0	Medium-quality	Genome-fragment	74.3	AAI-based (medium-confidence)	0.0	1.0	
G23J_7937V__1616	4897	No	NA	6	0	3	Low-quality	Genome-fragment	2.38	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
G23J_7937V__9544	5166	No	NA	3	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAX1_V__6774	13503	No	NA	16	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAY1_V__4866	3343	No	NA	3	0	3	Low-quality	Genome-fragment	7.95	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
G01M_8190_V__2030	13984	No	NA	18	3	0	Low-quality	Genome-fragment	8.49	HMM-based (lower-bound)	0.0	1.0	
G23J_7936V__1308	23970	No	NA	27	0	8	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAD2_V__3561	2877	No	NA	3	0	0	Low-quality	Genome-fragment	6.67	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
G18F_V11__965	5334	No	NA	5	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BBD1_V__237	2704	No	NA	3	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G23J_8064V__10130	2526	No	NA	4	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G01M_8418_V__2978	10608	No	NA	10	0	8	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
MixRN7_V4__3491	40772	No	NA	65	34	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
BAC7_V__528	6498	No	NA	5	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAH14_V__10105	12756	No	NA	14	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G23J_7933V__326	117274	No	NA	147	29	5	Medium-quality	Genome-fragment	79.94	AAI-based (medium-confidence)	0.0	1.0	low-confidence DTR
G21F_7878_V2__29	5292	No	NA	2	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAH1_V__5790	13794	No	NA	19	1	0	Low-quality	Genome-fragment	19.8	HMM-based (lower-bound)	0.0	1.0	
G01M_8190_V__1227	6015	No	NA	10	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G23J_8062V__7352	3221	No	NA	3	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G23J_7940V__6724	2556	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAW1_V__5083	8342	No	NA	9	5	0	Low-quality	Genome-fragment	19.21	AAI-based (high-confidence)	0.0	1.0	
G23J_7940V__6791	10320	No	NA	10	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G01M_8588_V__146	25393	No	NA	31	15	0	Medium-quality	Genome-fragment	68.3	AAI-based (high-confidence)	0.0	1.0	
G23J7928V2__3201	3243	Yes	2076	7	1	1	Low-quality	Genome-fragment	5.17	HMM-based (lower-bound)	35.99	1.0	
G01M_8349_V__2850	2928	No	NA	5	0	0	Low-quality	Genome-fragment	10.37	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
AZC3_V__5617	4529	No	NA	3	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAY9_V__8274	7697	No	NA	10	0	0	Low-quality	Genome-fragment	17.5	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
G01M_8340_V__7326	5253	No	NA	8	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G01M_8197_V__7979	8707	No	NA	10	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAX2_V__4780	2733	No	NA	4	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAJ6_V__9585	2527	No	NA	3	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
AZJ1_V__743	85958	No	NA	97	6	0	Medium-quality	Genome-fragment	79.75	AAI-based (high-confidence)	0.0	1.0	
BAH1_V__541	3304	No	NA	3	0	1	Low-quality	Genome-fragment	5.21	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
AZC1_V__6568	6145	No	NA	4	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BBD1_V__3598	3314	No	NA	4	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAX2_V__1919	2955	No	NA	2	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G18F_V18__8472	3945	No	NA	7	0	0	Low-quality	Genome-fragment	7.84	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
AZV1_V__4765	20621	No	NA	25	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G21F_7878_V2__4411	2700	No	NA	3	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G01M_8418_V__8639	4495	No	NA	6	0	0	Low-quality	Genome-fragment	1.18	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
G01M_8349_V__4693	23003	No	NA	30	12	0	Medium-quality	Genome-fragment	67.37	AAI-based (high-confidence)	0.0	1.0	
G01M_8519_V__5947	11550	No	NA	22	7	0	Low-quality	Genome-fragment	18.84	AAI-based (high-confidence)	0.0	1.0	
AZB2_V__6056	3793	No	NA	8	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G21F_7878_V2__4426	12637	No	NA	15	13	0	Low-quality	Genome-fragment	32.07	AAI-based (high-confidence)	0.0	1.0	
G23J_7943V__6568	18989	No	NA	17	0	12	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G21F_7878_V2__2542	2514	No	NA	4	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAL2_V__95	18006	No	NA	30	3	1	Low-quality	Genome-fragment	37.2	AAI-based (medium-confidence)	0.0	1.0	
BAM1_V__4840	4777	No	NA	5	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
AWG0_V__2532	5452	No	NA	12	1	0	Low-quality	Genome-fragment	14.91	AAI-based (medium-confidence)	0.0	1.0	
G23J_8064V__1812	4753	No	NA	5	1	0	Low-quality	Genome-fragment	8.62	AAI-based (high-confidence)	0.0	1.0	
G23J_7937V__2436	6346	No	NA	3	0	1	Low-quality	Genome-fragment	6.44	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
G21F_7876_V1__881	101226	No	NA	105	23	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
G21F_7878_V2__5576	6575	No	NA	5	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BBN3_V__1009	2641	No	NA	2	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G23J_8064V__2171	2515	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected; low-confidence DTR
G21F_7947_V5__6076	30522	No	NA	38	21	0	Low-quality	Genome-fragment	49.47	AAI-based (high-confidence)	0.0	1.0	
G21F_7878_V2__3056	3692	No	NA	5	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G21F_7878_V2__5647	165344	No	NA	252	59	2	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	contig >1.5x longer than expected genome length
G23J_8064V__3084	4109	No	NA	4	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G01M_8520_V__9561	8157	No	NA	6	1	0	Low-quality	Genome-fragment	19.58	AAI-based (high-confidence)	0.0	1.0	
G23J_7937V__2991	6212	No	NA	7	7	0	Low-quality	Genome-fragment	16.57	AAI-based (high-confidence)	0.0	1.0	
AZC3_V__7203	4637	No	NA	5	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G21F_7947_V5__3209	41338	No	NA	61	28	1	High-quality	High-quality	94.38	AAI-based (high-confidence)	0.0	1.0	
BAX2_V__171	175284	No	NA	295	37	2	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
G23J_7937V__2768	13113	No	NA	14	11	0	Low-quality	Genome-fragment	31.31	AAI-based (high-confidence)	0.0	1.0	
G21F_7881_V3__8559	2961	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected; low-confidence DTR
AZX1_V__1463	15216	No	NA	20	12	0	Low-quality	Genome-fragment	21.84	HMM-based (lower-bound)	0.0	1.0	
BBD6_V__2904	7113	No	NA	9	6	0	Low-quality	Genome-fragment	15.5	AAI-based (high-confidence)	0.0	1.0	
BAF1_V__5750	20533	No	NA	20	1	13	Low-quality	Genome-fragment	41.62	AAI-based (medium-confidence)	0.0	1.0	
G21F_7947_V5__4677	4363	No	NA	2	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G18F_V6__449	4631	Yes	1543	7	4	1	Low-quality	Genome-fragment	2.44	AAI-based (high-confidence)	66.68	1.0	
BAM6_V__4391	2732	No	NA	3	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
AZJ1_V__427	3178	No	NA	4	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G21F_7876_V1__7370	4307	No	NA	4	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BBF1_V__6777	3558	No	NA	7	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAD2_V__2197	9616	No	NA	18	3	1	Medium-quality	Genome-fragment	69.58	AAI-based (medium-confidence)	0.0	1.0	low-confidence DTR
G21F_7947_V5__5603	2599	No	NA	1	1	0	Low-quality	Genome-fragment	4.88	AAI-based (medium-confidence)	0.0	1.0	
G23J_7937V__7240	3639	No	NA	7	0	1	Low-quality	Genome-fragment	3.63	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
G21F_7878_V2__3137	4193	Yes	3123	5	1	1	Low-quality	Genome-fragment	7.11	AAI-based (high-confidence)	25.52	1.0	
G21F_7878_V2__6596	2627	No	NA	4	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAL6_V__5020	99674	No	NA	101	13	1	Medium-quality	Genome-fragment	88.83	AAI-based (high-confidence)	0.0	1.0	
G21F_7878_V2__6284	3627	No	NA	3	0	1	Low-quality	Genome-fragment	1.89	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
BAY4_V__321	2939	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G23J_7940V__6281	18241	Yes	6467	15	3	3	Low-quality	Genome-fragment	11.79	HMM-based (lower-bound)	64.55	1.0	
G21F_7876_V1__7595	12312	No	NA	25	6	0	Low-quality	Genome-fragment	20.49	AAI-based (high-confidence)	0.0	1.0	
G01M_8653_V__7022	7237	No	NA	11	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G23J_8067V__4315	93811	No	NA	84	9	0	Medium-quality	Genome-fragment	86.47	AAI-based (high-confidence)	0.0	1.0	
BAY4_V__8341	39898	No	NA	38	0	18	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAX4_V__12	2839	No	NA	3	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G23J_8064V__8746	3270	No	NA	5	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G01M_8520_V__9642	2689	No	NA	6	0	0	Low-quality	Genome-fragment	6.7	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
G23J_7940V__5164	4104	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAF8_V__1526	2971	No	NA	8	2	0	Low-quality	Genome-fragment	7.72	AAI-based (high-confidence)	0.0	1.0	
G01M_8418_V__8835	3130	No	NA	5	3	0	Low-quality	Genome-fragment	7.82	AAI-based (high-confidence)	0.0	1.0	
G23J_8064V__4976	3564	No	NA	8	1	0	Low-quality	Genome-fragment	7.66	AAI-based (high-confidence)	0.0	1.0	
G01M_8658_V__6539	2860	No	NA	3	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
